Наименование работ	Ед.изм.	Кол-во	Цена за ед. без НДС	Сумма без НДС
Монтаж гидроизоляционного покрытия на парапеты (и вент. шахты) до 500 мм и карнизы из полимеро-битумного наплавляемого материала в два слоя 	м/п	96,00	700,00 ₽	67 200,00 ₽
Монтаж краевой кровельной планки	м/п	30,00	150,00 ₽	4 500,00 ₽
Итого за работы:				76 200,00 ₽
Устройство кровельных аэраторов.				
Работы:				
Монтаж кровельных аэраторов	шт	3,00	2 500,00 ₽	7 500,00 ₽
Итого за работы:				7 500,00 ₽
Устройство водоприемных воронок.				
Работы:				
Монтаж внешнего водоотведения	м/п	54,00	400,00 ₽	21 600,00 ₽
Монтаж воронок внутреннего водоотведения	шт	2,00	2 500,00 ₽	5 000,00 ₽
Итого за работы:				26 600,00 ₽
ИТОГО по Разделу:				749 230,40 ₽
Монтаж кровли в осях: 1-6/А/3-И				
Подготовительные работы.				
Работы:				
Подготовка поверхности (очистка поверхности)	м2	1872,00	50,00 ₽	93 600,00 ₽
Устройство L-образного профиля и профилей усиления (коньковые усиления, усиления ендов, усиления деф. шва) 	м/п	183,00	252,00 ₽	46 116,00 ₽
Устройство заполнения гофр профлиста НГ утеплителем на длину 250 мм	м/п	228,75	252,00 ₽	57 645,00 ₽
Итого за работы:				197 361,00 ₽
Устройство сборной стяжки в 2 слоя ЦСП в нахлест - 20 мм.				
Работы:				
Устройство сборной стяжки в 2 слоя в нахлест - 20 мм	м2	1872,00	525,00 ₽	982 800,00 ₽
Итого за работы:				982 800,00 ₽
Устройство переходного бортика.				
Работы:				
Устройство бортика (галтель)	м.п	60,00	250,00 ₽	15 000,00 ₽
Итого за работы:				15 000,00 ₽
Устройство гидроизоляционного слоя кровли из битумосодержащего рулонного материала.				
Работы:				
Монтаж гидроизоляционного покрытия из рулонного материала Техноэласт Соло	м2	1872,00	315,00 ₽	589 680,00 ₽
Механическое крепление гидроизоляционного слоя из рулонного материала Техноэласт Соло	м2	1872,00	50,00 ₽	93 600,00 ₽
Итого за работы:				683 280,00 ₽
Устройство примыкания гидроизоляции к стене высотой до 500 мм из битумосодержащего рулонного материала в два слоя.				
Работы:				
Устройство усиления галтели, внутренних и внешних углов	м/п	60,00	150,00	9 000,00 ₽
Монтаж гидроизоляционного покрытия на парапеты (и вент. шахты) до 500 мм и карнизы из полимеро-битумного наплавляемого материала в два слоя 	м/п	183,00	700,00 ₽	128 100,00 ₽
Монтаж краевой кровельной планки	м/п	60,00	150,00 ₽	9 000,00 ₽
Итого за работы:				146 100,00 ₽
Устройство кровельных аэраторов.				
Работы:				
Монтаж кровельных аэраторов	шт	6,00	2 500,00 ₽	15 000,00 ₽
Итого за работы:				15 000,00 ₽
Устройство водоприемных воронок.				
Работы:				
Монтаж внешнего водоотведения	м/п	112,25	400,00 ₽	44 900,00 ₽
Итого за работы:				44 900,00 ₽
Устройство кровельного ограждения.				
Работы:				
Монтаж кровельного ограждения	м/п	60,00	600,00 ₽	36 000,00 ₽
Монтаж примыканий к стойкам ограждение 	шт	60,00	1 200,00 ₽	72 000,00 ₽
