Наименование работ	Ед.изм.	Кол-во	Цена за ед. без НДС	Сумма без НДС
ПВХ-мембрана ТехноНИКОЛЬ LOGICROOF V-RP 1,5 мм	м2	357,20		0,00 ₽
Крепеж кровельный телескопический 100 мм + саморез сверлоконечный 70 мм	шт	2 633,00		0,00 ₽
Итого за материалы:				0,00 ₽
ИТОГО по Разделу:				258 514,00 ₽
Устройство гидроизоляции примыканий к парапету и к карнизному свесу из ПВХ-мембраны				
Работы:				
Монтаж гидроизоляционного покрытия из ПВХ-мембраны к карнизному свесу	м/п	27,00	200,00 ₽	5 400,00 ₽
Монтаж гидроизоляционного покрытия на парапеты (и вертикальные стены) из ПВХ-мембраны, с заведением за парапет	м/п	63,00	650,00 ₽	40 950,00 ₽
Итого за работы:				46 350,00 ₽
Материалы:				
ПВХ-мембрана ТехноНИКОЛЬ LOGICROOF V-RP 1,5 мм	м2	72,45	1 200,00 ₽	86 940,00 ₽
Неармированная ПВХ-мембрана ТехноНИКОЛЬ LOGICROOF V-SR 1,5 мм	м2	2,00	1 100,00 ₽	2 200,00 ₽
Рейка прижимная ТехноНИКОЛЬ	м/п	126,00	115,00 ₽	14 490,00 ₽
Крепеж кровельный ТехноНИКОЛЬ (саморез 5,5*35)	шт	630,00	11,00 ₽	6 930,00 ₽
Итого за материалы:				110 560,00 ₽
ИТОГО по Разделу:				156 910,00 ₽
Устройство наружной водосточной системы				
Работы:				
Монтаж наружной водосточной системы (тип водосточной системы - не вандалостойкая)	м/п	33,50	1 000,00 ₽	33 500,00 ₽
Итого за работы:				33 500,00 ₽
Материалы:				
Желоб 3м МП	шт	10,00	1 300,00 ₽	13 000,00 ₽
Кронштейн желоба МП	шт	54,00	430,00 ₽	23 220,00 ₽
Заглушка желоба 	шт	2,00	170,00 ₽	340,00 ₽
Воронка выпускная	шт	2,00	515,00 ₽	1 030,00 ₽
Колено трубы D90×60 градусов (Белый)	шт	2,00	373,00 ₽	746,00 ₽
Труба водосточная D90 (Белый) 3м	шт	2,00	1 210,00 ₽	2 420,00 ₽
Труба водосточная D90 (Белый) 1м	шт	2,00	460,00 ₽	920,00 ₽
Кронштейн трубы	шт	6,00	150,00 ₽	900,00 ₽
Крепежные элементы	шт	1,00	1 500,00 ₽	1 500,00 ₽
Итого за материалы:				44 076,00 ₽
ИТОГО по Разделу:				77 576,00 ₽
ИТОГО по Разделам материалы для устройства кровли из ПВХ-мембраны:				786 104,00 ₽
ИТОГО по Разделам монтажные работы кровля из ПВХ-мембраны:				774 504,00 ₽
Накладные, транспортные, организационные и утилизационные расходы:				
Организационные, транспортные расходы, подъемы и механизмы::	ед	1,00	50 000,00 ₽	50 000,00 ₽
ИТОГО по Разделам накладные, транспортные, организационные и утилизационные расходы:				50 000,00 ₽
Итого общая сумма по всем разделам:				1 610 608,00 ₽
